asinc, Token::
espera, Token::
sal, Token::
caso, Token::
atrapa, Token::
clase, Token::
const, Token::
continua, Token::
depurador, Token::
defecto, Token::
borra, Token::
haz, Token::
sino, Token::ELSE
enum, Token::
exporta, Token::
extiende, Token::
falso, Token::
enfin, Token::
por, Token::
funcion, Token::FUNCTION
lee, Token:GET
si, Token::IF
implementa, Token::
importa, Token::
en, Token::
instanciade, Token::
interfaz, Token::
sea, Token::
nuevo, Token::
nulo, Token::
paquete, Token::
privado, Token::
protegido, Token::
publico, Token::
devuelve, Token::RETURN
pon, Token::
estatico, Token::
super, Token::
cambio, Token::
este, Token::
lanza, Token::
cierto, Token::
prueba, Token::
tipode, Token::
var, Token::
vacio, Token::
mientras, Token::
con, Token::
cede, Token::
