비동기, Token::ASYNC
대기, Token::AWAIT
취소, Token::BREAK
경우, Token::CASE
수납, Token::CATCH
강형, Token::CLASS
정적수, Token::CONST
계속, Token::CONTINUE
해결기, Token::DEBUGGER
기존, Token::DEFAULT
제거, Token::DELETE
하기, Token::DO
아닌면, Token::ELSE
열거, Token::ENUM
수출, Token::EXPORT
확장, Token::EXTENDS
부, Token::FALSE_LITERAL
마침내, Token::FINALLY
반복, Token::FOR
함수, Token::FUNCTION
조회, Token::GET
만약, Token::IF
실재, Token::FUTURE_STRICT_RESERVED_WORD
수입, Token::IMPORT
분자, Token::IN
사례, Token::INSTANCEOF
접속형, Token::FUTURE_STRICT_RESERVED_WORD
근변수, Token::LET
신생, Token::NEW
무, Token::NULL_LITERAL
봉인, Token::FUTURE_STRICT_RESERVED_WORD
사적, Token::FUTURE_STRICT_RESERVED_WORD
보호, Token::FUTURE_STRICT_RESERVED_WORD
공개, Token::FUTURE_STRICT_RESERVED_WORD
반환, Token::RETURN
정의, Token::SET
정적, Token::STATIC
확대, Token::SUPER
선택, Token::SWITCH
자신, Token::THIS
신고, Token::THROW
여, Token::TRUE_LITERAL
시도, Token::TRY
종류, Token::TYPEOF
원변수, Token::VAR
공허, Token::VOID
동안, Token::WHILE
함께, Token::WITH
양도, Token::YIELD
