asinc, Token::ASYNC
espera, Token::AWAIT
sal, Token::BREAK
caso, Token::CASE
atrapa, Token::CATCH
clase, Token::CLASS
const, Token::CONST
continua, Token::CONTINUE
depurador, Token::DEBUGGER
defecto, Token::DEFAULT
borra, Token::DELETE
haz, Token::DO
sino, Token::ELSE
enum, Token::ENUM
exporta, Token::EXPORT
extiende, Token::EXTENDS
falso, Token::FALSE_LITERAL
enfin, Token::FINALLY
por, Token::FOR
funcion, Token::FUNCTION
lee, Token::GET
si, Token::IF
implementa, Token::FUTURE_STRICT_RESERVED_WORD
importa, Token::IMPORT
en, Token::IN
instanciade, Token::INSTANCEOF
interfaz, Token::FUTURE_STRICT_RESERVED_WORD
sea, Token::LET
nuevo, Token::NEW
nulo, Token::NULL_LITERAL
paquete, Token::FUTURE_STRICT_RESERVED_WORD
privado, Token::FUTURE_STRICT_RESERVED_WORD
protegido, Token::FUTURE_STRICT_RESERVED_WORD
publico, Token::FUTURE_STRICT_RESERVED_WORD
devuelve, Token::RETURN
pon, Token::SET
estatico, Token::STATIC
super, Token::SUPER
cambio, Token::SWITCH
este, Token::THIS
lanza, Token::THROW
cierto, Token::TRUE_LITERAL
prueba, Token::TRY
tipode, Token::TYPEOF
var, Token::VAR
vacio, Token::VOID
mientras, Token::WHILE
con, Token::WITH
cede, Token::YIELD
